Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2021,Alavés,La Liga,team,30,28.7,42.8,38,418,3420,38,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,939,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats
2021,Angers,Ligue 1,team,31,27.9,46.4,38,418,3420,38,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67,https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats
2021,Arminia,Bundesliga,team,26,26,42.3,34,374,3060,34,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.7,1.67,0.92,1.62,https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats
2021,Arsenal,Premier League,team,29,25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,51.7,47,35.1,82.1,758,1760,1.39,1,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2021,Aston Villa,Premier League,team,24,25.2,48.5,38,418,3420,38,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2021,Atalanta,Serie A,team,30,27.3,54.6,38,418,3420,38,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats
2021,Athletic Club,La Liga,team,27,26.6,49.9,38,418,3420,38,43,31,74,39,4,5,82,3,42.8,38.9,31,70,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.94,1.02,1.84,https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
2021,Atlético Madrid,La Liga,team,25,27.3,52.3,38,418,3420,38,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3,1.39,1.07,2.46,1.24,2.31,https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2021,Augsburg,Bundesliga,team,25,27,41.4,34,374,3060,34,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.1,0.76,1.86,0.98,1.74,https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats
2021,Barcelona,La Liga,team,25,26.4,65.5,38,418,3420,38,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2,3.34,1.94,1.4,3.33,1.77,3.16,https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats
2021,Bayern Munich,Bundesliga,team,29,27.3,60.7,34,374,3060,34,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2,3.63,https://fbref.com/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
2021,Benevento,Serie A,team,29,28.7,42.6,38,418,3420,38,40,26,66,35,5,7,95,5,40.6,35,27.6,62.6,512,1096,1.05,0.68,1.74,0.92,1.61,1.07,0.73,1.79,0.92,1.65,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats
2021,Betis,La Liga,team,25,27.9,53.6,38,418,3420,38,50,35,85,42,8,11,93,8,49.1,40.6,33.4,74,694,1442,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.95,https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats
2021,Bologna,Serie A,team,37,27.2,50.8,38,418,3420,38,49,38,87,46,3,4,82,4,54.6,51.1,39,90.1,707,1516,1.29,1,2.29,1.21,2.21,1.44,1.03,2.47,1.34,2.37,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats
2021,Bordeaux,Ligue 1,team,28,27.6,49.8,38,418,3420,38,41,32,73,37,4,4,78,4,43.5,40.4,31.4,71.7,644,1303,1.08,0.84,1.92,0.97,1.82,1.14,0.83,1.97,1.06,1.89,https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats
2021,Brest,Ligue 1,team,26,24.9,49.3,38,418,3420,38,48,31,79,45,3,4,62,4,50,46.8,36,82.8,685,1438,1.26,0.82,2.08,1.18,2,1.32,0.95,2.26,1.23,2.18,https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats
2021,Brighton,Premier League,team,27,25.8,51.1,38,418,3420,38,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77,685,1516,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
2021,Burnley,Premier League,team,25,28.3,42.1,38,418,3420,38,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
2021,Cagliari,Serie A,team,32,26.5,44.8,38,418,3420,38,43,30,73,39,4,5,77,3,47.1,43.4,34,77.5,589,1228,1.13,0.79,1.92,1.03,1.82,1.24,0.9,2.14,1.14,2.04,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats
2021,Celta Vigo,La Liga,team,30,26.6,53.3,38,418,3420,38,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15,https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
2021,Chelsea,Premier League,team,27,26,60.9,38,418,3420,38,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96,895,1798,1.47,1,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2021,Crotone,Serie A,team,31,27.8,46.3,38,418,3420,38,44,27,71,35,9,9,89,4,40.4,33.4,23.9,57.2,582,1217,1.16,0.71,1.87,0.92,1.63,1.06,0.63,1.69,0.88,1.51,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats
2021,Crystal Palace,Premier League,team,24,29.1,40.6,38,418,3420,38,39,29,68,36,3,4,56,2,34.1,31,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
2021,Cádiz,La Liga,team,34,28.8,34.8,38,418,3420,38,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37,https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats
2021,Dijon,Ligue 1,team,33,25.7,46.2,38,418,3420,38,25,15,40,22,3,5,76,5,33.7,29.9,22.6,52.6,527,1203,0.66,0.39,1.05,0.58,0.97,0.89,0.6,1.48,0.79,1.38,https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats
2021,Dortmund,Bundesliga,team,26,25.6,59.6,34,374,3060,34,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2.18,1.68,3.85,2.09,3.76,1.95,1.5,3.45,1.78,3.28,https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats
2021,Eibar,La Liga,team,30,28.2,49.3,38,418,3420,38,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79,https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats
2021,Eint Frankfurt,Bundesliga,team,25,27.2,53.7,34,374,3060,34,63,52,115,55,8,8,82,1,58.5,52.2,44,96.2,664,1548,1.85,1.53,3.38,1.62,3.15,1.72,1.29,3.01,1.54,2.83,https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats
2021,Elche,La Liga,team,30,28.1,47.5,38,418,3420,38,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,501,929,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.3,https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats
2021,Everton,Premier League,team,29,26.3,46.4,38,418,3420,38,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
2021,Fiorentina,Serie A,team,30,26.6,46.3,38,418,3420,38,44,31,75,38,6,6,86,5,44.9,40.2,31.6,71.8,637,1353,1.16,0.82,1.97,1,1.82,1.18,0.83,2.01,1.06,1.89,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats
2021,Freiburg,Bundesliga,team,24,26.2,47.3,34,374,3060,34,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.5,1,2.5,1.32,2.32,1.34,0.87,2.21,1.2,2.07,https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats
2021,Fulham,Premier League,team,28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
2021,Genoa,Serie A,team,34,28.3,44.8,38,418,3420,38,46,32,78,42,4,4,87,2,38.8,35.6,26.4,62.1,523,1165,1.21,0.84,2.05,1.11,1.95,1.02,0.7,1.72,0.94,1.63,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats
2021,Getafe,La Liga,team,31,26.7,43.3,38,418,3420,38,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1,0.91,0.62,1.53,0.8,1.42,https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats
2021,Gladbach,Bundesliga,team,23,26.9,51.7,34,374,3060,34,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,612,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46,https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
2021,Granada,La Liga,team,34,27.4,41.4,38,418,3420,38,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.7,1.79,0.98,1.68,https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats
2021,Hellas Verona,Serie A,team,32,26.2,49.8,38,418,3420,38,38,30,68,35,3,3,91,1,45.3,43,33.5,76.5,599,1490,1,0.79,1.79,0.92,1.71,1.19,0.88,2.08,1.13,2.01,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats
2021,Hertha BSC,Bundesliga,team,32,25.4,49.6,34,374,3060,34,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95,https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats
2021,Hoffenheim,Bundesliga,team,30,25.7,51.2,34,374,3060,34,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.5,1.12,2.62,1.35,2.47,1.53,1.1,2.62,1.39,2.49,https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats
2021,Huesca,La Liga,team,27,28,48.3,38,418,3420,38,32,23,55,29,3,4,69,2,38.7,35.9,26.6,62.5,617,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.72,0.94,1.64,https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats
2021,Inter,Serie A,team,25,27.7,52.5,38,418,3420,38,84,62,146,76,8,9,61,2,74.2,67.2,52.5,119.8,766,1707,2.21,1.63,3.84,2,3.63,1.95,1.38,3.34,1.77,3.15,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats
2021,Juventus,Serie A,team,30,27.7,56.9,38,418,3420,38,76,59,135,68,8,10,80,6,74.4,67,55.1,122.1,949,1768,2,1.55,3.55,1.79,3.34,1.96,1.45,3.41,1.76,3.21,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats
