"","Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls_Performance","Ast_Performance","PK_Performance","PKatt_Performance","Sh_Performance","SoT_Performance","CrdY_Performance","CrdR_Performance","Touches_Performance","Tkl_Performance","Int_Performance","Blocks_Performance","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"1","Thomas Müller","2019-2020","2019-08-03","Sat","DFL-Supercup","DFL-Supercup","Neutral","L 0–2","Bayern Munich","Dortmund","Y","AM",65,0,0,0,0,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Thomas Müller","2019-2020","2019-08-12","Mon","DFB-Pokal","First round","Away","W 3–1","Bayern Munich","Energie Cottbus","Y","FW",90,0,0,0,0,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Thomas Müller","2019-2020","2019-08-16","Fri","Bundesliga","Matchweek 1","Home","D 2–2","Bayern Munich","Hertha BSC","Y","RM",84,0,0,0,0,3,1,1,0,51,1,0,1,0.2,0.2,0.1,2,0,30,41,73.2,5,33,2,0,0
"4","Thomas Müller","2019-2020","2019-08-24","Sat","Bundesliga","Matchweek 2","Away","W 3–0","Bayern Munich","Schalke 04","Y","RM",56,0,0,0,0,1,0,0,0,32,2,1,0,0.1,0.1,0,1,0,16,26,61.5,3,20,2,2,1
"5","Thomas Müller","2019-2020","2019-08-31","Sat","Bundesliga","Matchweek 3","Home","W 6–1","Bayern Munich","Mainz 05","N","AM",24,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0.8,4,2,15,17,88.2,4,11,0,0,0
"6","Thomas Müller","2019-2020","2019-09-14","Sat","Bundesliga","Matchweek 4","Away","D 1–1","Bayern Munich","B Leipzig","Y","AM",62,0,1,0,0,1,0,0,0,38,0,1,1,0.1,0.1,0.4,3,1,24,32,75,5,15,3,1,1
"7","Thomas Müller","2019-2020","2019-09-18","Wed","Champions Lg","Group stage","Home","W 3–0","Bayern Munich","Red Star","N","AM",8,1,0,0,0,2,1,0,0,5,0,0,0,0.3,0.3,0.5,1,0,2,3,66.7,1,5,0,0,0
"8","Thomas Müller","2019-2020","2019-09-21","Sat","Bundesliga","Matchweek 5","Home","W 4–0","Bayern Munich","Köln","N","FW",20,0,0,0,0,3,0,0,0,16,0,1,0,0.1,0.1,0,0,0,6,11,54.5,2,6,0,0,0
"9","Thomas Müller","2019-2020","2019-09-28","Sat","Bundesliga","Matchweek 6","Away","W 3–2","Bayern Munich","Paderborn 07","N","FW",11,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0.2,1,0,4,4,100,2,3,1,0,0
"10","Thomas Müller","2019-2020","2019-10-01","Tue","Champions Lg","Group stage","Away","W 7–2","Bayern Munich","Tottenham","N","On matchday squad, but did not play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
